hymn_number,title,verse_number,text,source_paragraphs,review_flags
1,U BLEI UBA HALOR BAROH,1,"Don Uwei U Blei ha byneng, U Trai ia baroh ba la seng: U synshar hi na mynbarim: Ngan ieit, ngan iaroh katba im.",4,
1,U BLEI UBA HALOR BAROH,2,"Ki hukum don ba U la ai, Ban hikai ia ka mon U Trai; Ngan ngeit ka ktien jong U ba neh, Ba kaba hok, ba shisha eh.",5,
1,U BLEI UBA HALOR BAROH,3,"La wan ka Gospel Blei ha ngi, Ka jingsuk jai na ka la mih; Ha ka, Ah Blei, ngin shem ia Me, Ai bor ngin wad nongrim ba neh.",6,
1,U BLEI UBA HALOR BAROH,4,"La buh ka por ia nga ban iap, Leh kyndit eh ia nga kan lap; Ki samla bad ki khynnah ruh Ki íap, ban khreh ngan ym tud shuh.",7,
1,U BLEI UBA HALOR BAROH,5,"Ngan sumar ia ki por ba sah; To wan, Mynsiem, pynkhreh ia nga; Tang lap ka jingiap ngam lah phai, Ka aiom wad jingmap la wai.",8,
2,KA JINGDON U BLEI,1,"Ka khyndew long ka jong U Trai, Jingdap kyrhai de jong ka; Ka pyrthei bad ki briew ki long, Ki jong U Trai ki paidbah.",12,
2,KA JINGDON U BLEI,2,"Ka nongrim jong ka U la seng, Hapdeng ki um ka duriaw; Ha jingshlei um U pynskhem bha, Ia ka, ngi shngain ban kynmaw.",13,
2,KA JINGDON U BLEI,3,"Uei ban kiew sha ïing U Trai, Ban ym phai khymat nangta? Ha lum ba kyntang Me, Ah Blei, Uei un ioh ieng hangta?",14,
2,KA JINGDON U BLEI,4,"Riewkhuid ka dohnud bad ki kti, Bym iaid ha lynti jubor; Sha kaba thala um ju phai, Um smai da kaba shukor.",15,
2,KA JINGDON U BLEI,5,"Jingkyrkhu na U Trai un ioh, Ban kerkut baroh sawdong; Ka hok de na U Blei ba im, Ka jingpynim ba pynlong.",16,
2,KA JINGDON U BLEI,6,"Ka pateng bynriew ba ju wad, L’U Kynrad ka long kane; Ah Blei u Jakob! Ki iadem, Ban shem ka khymat jong Me.",17,
3,KA JINGIAROH IA UWEI-LAI,1,"Bakhuid, Bakhuid, Bakhuid, Bakhrawbor,
Ah Blei!
Dang step phyrngab, Kynrad, ngi riwai
nguh ia Me; Bakhuid, Bakhuid, Bakhuid, khlaiń bad
dap jingisnei, Lai ngut ba tang Wei long U Trai ba neh!","20,21,22,23,24",
3,KA JINGIAROH IA UWEI-LAI,2,"Bakhuid, Bakhuid, Bakhuid, riewkhuid ki
iaroh,
Baroh ki pangsngiat ksiar, ki loit ban nguh
ia Me;
Kherub bad ki Seraph ki mane dems
baroh,
Ia Me ba junom Ujuh Me iaineh.","26,27,28,29,30,31,32",contains_known_ocr_artifact
